round,mode,total_reward,average_waiting_time,average_queue_length,throughput,average_travel_time,episode_duration
0,balanced,-229160.5,373.8996737357259,42.43712962962964,1394.0,554.2846655791191,1800.0
0,queue_clearance,-239956.0,391.4979608482871,44.436296296296376,1284.0,559.0354812398042,1800.0
0,main_road_priority,-206783.0,337.3931484502447,38.29314814814817,1449.0,524.2455138662317,1800.0
0,congestion_resistance,-271686.25,443.2589722675367,50.312268518518486,1128.0,601.362969004894,1800.0
5,balanced,-152514.0,255.4449560485559,28.243333333333354,1515.0,449.97111762243617,1800.0
5,queue_clearance,-130890.5,218.41743119266056,24.23898148148149,1672.0,429.0829858215179,1800.0
5,main_road_priority,-168670.5,290.1070507308684,31.23527777777779,1392.0,479.2278589853826,1800.0
5,congestion_resistance,-158630.25,272.608676975945,29.375972222222213,1442.0,464.86168384879727,1800.0
10,balanced,-52908.75,86.42088091353996,9.797916666666671,2037.0,314.32585644371943,1800.0
10,queue_clearance,-51048.5,83.36827079934747,9.453425925925913,2035.0,311.1366231647635,1800.0
10,main_road_priority,-52401.25,85.57585644371942,9.703935185185186,2041.0,313.47022838499186,1800.0
10,congestion_resistance,-48070.5,78.52650897226754,8.90194444444444,2045.0,306.5530179445351,1800.0
15,balanced,-36672.0,59.91231647634584,6.791111111111115,2066.0,288.4530995106036,1800.0
15,queue_clearance,-38530.75,62.958401305057095,7.135324074074076,2069.0,291.61908646003263,1800.0
15,main_road_priority,-48793.75,79.997542997543,9.035879629629632,1956.0,300.36240786240785,1800.0
15,congestion_resistance,-37905.75,61.94045676998369,7.019583333333332,2058.0,290.34869494290376,1800.0
20,balanced,-34705.5,56.7010603588907,6.4269444444444535,2064.0,286.13091353996737,1800.0
20,queue_clearance,-33305.25,54.42699836867863,6.167638888888889,2073.0,284.5350734094617,1800.0
20,main_road_priority,-39489.75,64.5126427406199,7.312916666666671,2024.0,289.2190048939641,1800.0
20,congestion_resistance,-33249.75,54.340130505709624,6.157361111111102,2073.0,284.5562805872757,1800.0
25,balanced,-48335.75,79.70634266886326,8.951064814814831,1954.0,300.7310543657331,1800.0
25,queue_clearance,-53315.75,87.47377049180328,9.873287037037036,1947.0,310.38975409836064,1800.0
25,main_road_priority,-34753.75,56.80016313213703,6.4358796296296195,2071.0,285.91802610114195,1800.0
25,congestion_resistance,-53211.75,87.30819672131148,9.854027777777787,1949.0,310.3159836065574,1800.0
30,balanced,-32484.75,53.066068515497555,6.01569444444444,2076.0,281.5248776508972,1800.0
30,queue_clearance,-32469.25,53.06769983686786,6.0128240740740715,2087.0,281.818515497553,1800.0
30,main_road_priority,-31963.0,52.22716150081566,5.919074074074082,2079.0,280.6333605220228,1800.0
30,congestion_resistance,-33110.75,54.10889070146819,6.131620370370373,2082.0,283.3535889070147,1800.0
35,balanced,-28500.25,46.57055464926591,5.2778240740740685,2093.0,275.7732463295269,1800.0
35,queue_clearance,-26439.25,43.21247960848287,4.896157407407407,2102.0,272.58972267536706,1800.0
35,main_road_priority,-28477.75,46.530587275693314,5.273657407407414,2090.0,275.5603588907015,1800.0
35,congestion_resistance,-38123.75,62.91058920477956,7.059953703703707,1995.0,286.7684384013185,1800.0
40,balanced,-27320.75,44.64518760195759,5.059398148148146,2096.0,273.30668841761826,1800.0
40,queue_clearance,-27218.0,44.465334420880914,5.040370370370379,2084.0,272.9906199021207,1800.0
40,main_road_priority,-27188.75,44.4310766721044,5.034953703703715,2090.0,272.73123980424145,1800.0
40,congestion_resistance,-27251.25,44.52161500815661,5.046527777777777,2095.0,273.25122349102776,1800.0
45,balanced,-26829.25,43.83034257748776,4.968379629629632,2084.0,272.59665579119087,1800.0
45,queue_clearance,-26437.5,43.20758564437194,4.895833333333336,2096.0,272.55342577487767,1800.0
45,main_road_priority,-26483.75,43.26182707993475,4.904398148148153,2096.0,271.98327895595435,1800.0
45,congestion_resistance,-26466.0,43.23409461663948,4.901111111111115,2098.0,271.9938825448613,1800.0
50,balanced,-26611.0,43.491435562805876,4.927962962962965,2097.0,272.3372756933116,1800.0
50,queue_clearance,-26656.75,43.55709624796085,4.936435185185186,2095.0,272.26753670473084,1800.0
50,main_road_priority,-26134.0,42.718189233278956,4.83962962962963,2101.0,271.84706362153344,1800.0
50,congestion_resistance,-26814.75,43.82096247960848,4.965694444444454,2086.0,272.7520391517129,1800.0
55,balanced,-27367.0,44.71859706362153,5.0679629629629614,2096.0,274.276101141925,1800.0
55,queue_clearance,-26119.25,42.67699836867863,4.836898148148151,2095.0,271.82381729200654,1800.0
55,main_road_priority,-25423.0,41.541190864600324,4.707962962962966,2091.0,270.65008156606854,1800.0
55,congestion_resistance,-26147.5,42.7300163132137,4.842129629629625,2103.0,272.11908646003263,1800.0
